sim,AT,focus
0.8847018480300903,1,0.8333333333333334
0.8667401075363159,1,0.0
0.8873308300971985,2,0.5
0.8578360080718994,1,0.0
0.8710633516311646,2,0.7142857142857143
0.8633862137794495,1,0.6
0.8774718642234802,2,0.4
0.9402322769165039,1,0.75
0.9412000179290771,1,0.6666666666666666
0.8231598734855652,2,0.8
0.9249635934829712,1,0.5
0.8799675703048706,1,0.6
0.8172022104263306,1,0.5
0.8503044247627258,1,0.0
0.911204993724823,1,0.7142857142857143
0.844913125038147,2,0.3333333333333333
0.8522517681121826,0,0.3333333333333333
0.8960749506950378,1,0.6
0.8953949213027954,1,0.8
0.9002196192741394,1,0.2857142857142857
0.942348837852478,1,0.8
0.9290248155593872,1,0.625
0.8269967436790466,1,0.8
0.8738894462585449,2,0.8333333333333334
0.936229407787323,2,0.7142857142857143
0.9035177826881409,2,0.5
0.9328470826148987,1,0.5714285714285714
0.9584591388702393,2,0.7142857142857143
0.8846015334129333,0,0.75
0.9073082804679871,1,0.7142857142857143
0.9332131147384644,2,0.6363636363636364
0.8920953273773193,1,0.5
0.9274469614028931,2,0.6
0.9369543194770813,2,0.9
0.8604027032852173,1,0.3333333333333333
0.8202351927757263,1,0.5
0.9290138483047485,2,0.4
0.8599669933319092,1,0.0
0.9311527013778687,2,0.4444444444444444
0.8918863534927368,1,0.5
0.9041369557380676,0,0.5
0.8554084897041321,1,0.8571428571428571
0.9160183668136597,1,0.6
0.8766857385635376,2,0.5
0.9152517318725586,2,0.5714285714285714
0.7989643812179565,1,0.4
0.9362444281578064,1,0.75
0.876801609992981,2,0.5
0.86863112449646,2,0.8
0.880739152431488,1,0.3333333333333333
0.7766971588134766,2,0.8333333333333334
0.9186389446258545,1,1.0
0.9040252566337585,1,0.2857142857142857
0.9042157530784607,2,0.5714285714285714
0.8849740624427795,1,0.8
0.9125300645828247,1,0.5
0.8683487772941589,2,0.75
0.7893610000610352,2,0.6666666666666666
0.8085675239562988,1,0.5
0.8653625249862671,2,0.75
0.8222087025642395,1,0.6
0.8272807598114014,1,0.5
0.8890727758407593,1,0.75
0.8216397166252136,0,0.5
0.8366674780845642,1,0.6
0.9294092059135437,0,0.6666666666666666
0.7253909111022949,0,0.6666666666666666
0.9430859088897705,1,0.5
0.8561297655105591,2,0.5
0.744146466255188,2,1.0
0.8941376805305481,2,0.8333333333333334
0.8441164493560791,1,1.0
0.8366133570671082,1,0.6666666666666666
0.864712655544281,1,0.3333333333333333
0.839422345161438,2,0.8333333333333334
0.8743926882743835,0,0.5
0.9048629999160767,1,0.5
0.8940714597702026,2,0.8571428571428571
0.884116530418396,1,0.16666666666666666
0.9182406067848206,2,0.8
0.8748814463615417,2,0.25
0.89295893907547,0,0.5
0.8369410037994385,1,0.2
0.8720312118530273,1,0.3333333333333333
0.8857595920562744,1,0.25
0.8897485136985779,1,0.3333333333333333
0.8172152638435364,1,0.16666666666666666
0.7904937863349915,0,0.0
0.8974065780639648,1,0.75
0.8129664659500122,2,0.75
0.8714611530303955,1,0.42857142857142855
0.8744335770606995,1,0.5
0.903362512588501,2,0.8
0.8562214374542236,2,1.0
0.8639938831329346,0,0.5
0.8077167272567749,2,0.75
0.844230055809021,2,0.5
0.8970956802368164,2,0.8
0.8735609650611877,2,0.6666666666666666
0.80964595079422,1,0.5
0.9081347584724426,0,1.0
0.903605043888092,1,0.4
0.7971777319908142,1,0.6666666666666666
0.8202940821647644,1,0.25
0.9033411145210266,2,1.0
0.8907923698425293,2,1.0
0.8776651620864868,2,1.0
0.8559046983718872,1,0.5714285714285714
0.8576360940933228,1,0.6
0.8487514853477478,0,0.8
0.8980514407157898,1,0.5
0.8707473278045654,2,0.8571428571428571
0.885129988193512,1,0.75
0.8762454986572266,1,0.6666666666666666
0.9073725342750549,0,0.375
0.9148679971694946,2,0.875
0.8134869933128357,2,0.4
0.8733087778091431,1,0.6666666666666666
0.8268241286277771,2,1.0
0.9184672832489014,1,0.2857142857142857
0.8412145376205444,0,0.6666666666666666
0.8741524815559387,1,0.6
0.8554868698120117,0,0.8
0.8781730532646179,0,0.6666666666666666
0.7462660670280457,2,1.0
0.8803460597991943,0,1.0
0.8562422394752502,1,0.25
0.8971790671348572,2,0.5555555555555556
0.80784010887146,2,0.3333333333333333
0.8729428052902222,1,0.25
0.8667916059494019,1,1.0
0.8505872488021851,0,0.6666666666666666
0.8879781365394592,1,0.8
0.8898666501045227,0,0.5
0.8821367621421814,1,0.4
0.8719035983085632,0,0.7142857142857143
0.841815710067749,1,0.5
0.9072803258895874,1,0.75
0.8711510896682739,1,0.3333333333333333
0.8379928469657898,1,0.75
0.8420868515968323,0,0.75
0.8930932283401489,1,1.0
0.8430323004722595,2,0.8
0.8186662197113037,1,1.0
0.8980116844177246,0,0.5714285714285714
0.9142516851425171,0,0.8
0.7832709550857544,1,1.0
0.8652634024620056,1,0.5714285714285714
0.8552067875862122,2,0.4
0.9181867241859436,1,0.4
0.7650040984153748,2,1.0
0.8481202125549316,2,0.0
0.8564963936805725,1,0.6
0.8619375824928284,2,0.8
0.8415194749832153,2,0.75
0.8798654675483704,2,0.125
0.9022070169448853,2,0.5
0.9025681614875793,2,0.8333333333333334
0.9150089621543884,2,0.8
0.8930993676185608,1,0.5
0.8405013680458069,1,0.75
0.9056499600410461,0,0.6
0.8826985955238342,2,0.7142857142857143
0.7747493982315063,0,0.3333333333333333
0.8979858756065369,2,0.6
0.8077508211135864,1,0.6666666666666666
0.8291778564453125,2,0.5
